,Iteration,B Type,Constructor,Land Cost,CC1,CC2,Net OP,Q1,Q2,P1,P2,Primary Action,Subsidy Cost,Education Cost,E,EI,U2-After-Education,U3-After-Education,S,Price Difference,Price Difference- After Subsidy,P2-Subsidized-Relative-Percent,U2-After-Subsidy,M2-After-Subsidy,Quota_M2- Subsidy,Merge_M2- Subsidy,Residual_M2- Subsidy,M1 Subsidy,H1,H2,Constructor Profit
94,10,B3,5,1183094,375044220,384733999,13.0%,2451022,2529011,2469637,2550356,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,80718,75718,2.969%,8.068%,0,0,0,0,200,48755730.0,56395200,56395200
95,10,B3,6,1183094,375044220,384733999,12.5%,2440177,2517820,2458413,2538774,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,80361,75361,2.968%,8.068%,0,0,0,0,200,46880550.0,54226200,54226200
96,10,B3,7,1183094,375044220,384733999,12.0%,2429332,2506630,2447188,2527192,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,80004,75004,2.968%,8.068%,0,0,0,0,200,45005350.0,52057200,52057200
97,10,B3,8,1183094,375044220,384733999,11.5%,2418486,2495440,2435963,2515610,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,79647,74647,2.967%,8.068%,0,0,0,0,200,43130100.0,49888000,49888000
98,10,B3,9,1183094,375044220,384733999,11.0%,2407641,2484250,2424738,2504028,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,79290,74290,2.967%,8.068%,0,0,0,0,200,41254870.0,47719000,47719000
99,10,B3,10,1183094,375044220,384733999,10.5%,2396796,2473059,2413513,2492446,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,78933,73933,2.966%,8.068%,0,0,0,0,200,39379670.0,45550000,45550000
100,11,B4,1,930283,324482020,334171799,15.0%,2203670,2283039,2213628,2295775,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,82147,77147,3.36%,8.068%,161,161,200,0,0,48672340.0,59557600,59557600
101,11,B4,2,930283,324482020,334171799,14.5%,2194089,2273113,2203712,2285502,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,81790,76790,3.36%,8.068%,0,0,0,0,200,47049910.0,55570800,55570800
102,11,B4,3,930283,324482020,334171799,14.0%,2184508,2263187,2193795,2275228,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,81433,76433,3.359%,8.068%,0,0,0,0,200,45427510.0,53654600,53654600
103,11,B4,4,930283,324482020,334171799,13.5%,2174927,2253261,2183879,2264954,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,81076,76076,3.359%,8.068%,0,0,0,0,200,43805080.0,51738400,51738400
104,11,B4,5,930283,324482020,334171799,13.0%,2165346,2243334,2173962,2254681,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,80718,75718,3.358%,8.068%,0,0,0,0,200,42182650.0,49822200,49822200
105,11,B4,6,930283,324482020,334171799,12.5%,2155764,2233408,2164046,2244407,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,80361,75361,3.358%,8.068%,0,0,0,0,200,40560230.0,47905800,47905800
106,11,B4,7,930283,324482020,334171799,12.0%,2146183,2223482,2154129,2234133,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,80004,75004,3.357%,8.068%,0,0,0,0,200,38937800.0,45989600,45989600
107,11,B4,8,930283,324482020,334171799,11.5%,2136602,2213556,2144213,2223860,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,79647,74647,3.357%,8.068%,0,0,0,0,200,37315450.0,44073400,44073400
108,11,B4,9,930283,324482020,334171799,11.0%,2127021,2203629,2134296,2213586,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,79290,74290,3.356%,8.068%,0,0,0,0,200,35692970.0,42157200,42157200
